# step penetration_um force vm_avg vm_max vm_min vm_std vm_contact_avg vm_contact_max nb_contact_cells
7.000000e+01 7.000000e+00 9.994276e+02 8.494158e-02 6.168493e+01 1.092325e-04 9.912891e-01 6.141755e+01 6.168493e+01 4.000000e+00
7.100000e+01 7.100000e+00 1.011675e+03 8.599960e-02 6.256323e+01 1.105284e-04 1.003793e+00 6.219825e+01 6.256323e+01 4.000000e+00
7.200000e+01 7.200000e+00 1.023483e+03 8.702652e-02 6.345575e+01 1.117735e-04 1.015931e+00 6.295653e+01 6.345575e+01 4.000000e+00
7.300000e+01 7.300000e+00 1.035021e+03 8.803453e-02 6.435017e+01 1.129858e-04 1.027845e+00 6.370112e+01 6.435017e+01 4.000000e+00
7.400000e+01 7.400000e+00 1.046434e+03 8.903384e-02 6.524541e+01 1.141827e-04 1.039659e+00 6.443944e+01 6.524541e+01 4.000000e+00
7.500000e+01 7.500000e+00 1.057797e+03 9.002962e-02 6.614084e+01 1.153732e-04 1.051433e+00 6.517528e+01 6.614084e+01 4.000000e+00
7.600000e+01 7.600000e+00 1.069136e+03 9.102382e-02 6.703573e+01 1.165612e-04 1.063191e+00 6.591010e+01 6.703573e+01 4.000000e+00
7.700000e+01 7.700000e+00 1.080452e+03 9.201618e-02 6.792760e+01 1.177474e-04 1.074934e+00 6.664395e+01 6.792760e+01 4.000000e+00
7.800000e+01 7.800000e+00 1.091701e+03 9.300289e-02 6.880736e+01 1.189298e-04 1.086624e+00 6.737501e+01 6.880736e+01 4.000000e+00
7.900000e+01 7.900000e+00 1.102785e+03 9.397552e-02 6.965626e+01 1.201037e-04 1.098184e+00 6.809914e+01 6.965626e+01 4.000000e+00
8.000000e+01 8.000000e+00 1.113649e+03 9.492946e-02 7.046422e+01 1.212662e-04 1.109568e+00 6.881401e+01 7.046422e+01 4.000000e+00
8.100000e+01 8.100000e+00 1.124348e+03 9.586932e-02 7.124156e+01 1.224203e-04 1.120819e+00 6.952187e+01 7.124156e+01 4.000000e+00
8.200000e+01 8.200000e+00 1.134953e+03 9.680151e-02 7.200234e+01 1.235698e-04 1.131996e+00 7.022578e+01 7.200234e+01 4.000000e+00
8.300000e+01 8.300000e+00 1.145507e+03 9.772972e-02 7.275449e+01 1.247172e-04 1.143132e+00 7.092735e+01 7.275449e+01 4.000000e+00
8.400000e+01 8.400000e+00 1.156019e+03 9.865525e-02 7.350049e+01 1.258638e-04 1.154235e+00 7.162687e+01 7.350049e+01 4.000000e+00
8.500000e+01 8.500000e+00 1.166485e+03 9.957808e-02 7.423974e+01 1.270102e-04 1.165299e+00 7.232380e+01 7.423974e+01 4.000000e+00
8.600000e+01 8.600000e+00 1.176893e+03 1.004977e-01 7.497055e+01 1.281569e-04 1.176313e+00 7.301734e+01 7.497055e+01 4.000000e+00
8.700000e+01 8.700000e+00 1.187236e+03 1.014139e-01 7.569187e+01 1.293042e-04 1.187271e+00 7.370700e+01 7.569187e+01 4.000000e+00
8.800000e+01 8.800000e+00 1.197518e+03 1.023269e-01 7.640428e+01 1.304521e-04 1.198174e+00 7.439291e+01 7.640428e+01 4.000000e+00
8.900000e+01 8.900000e+00 1.207747e+03 1.032371e-01 7.710961e+01 1.316000e-04 1.209032e+00 7.507561e+01 7.710961e+01 4.000000e+00
9.000000e+01 9.000000e+00 1.217927e+03 1.041445e-01 7.781004e+01 1.327455e-04 1.219845e+00 7.575523e+01 7.781004e+01 4.000000e+00
9.100000e+01 9.100000e+00 1.228029e+03 1.050464e-01 7.850733e+01 1.338810e-04 1.230588e+00 7.643022e+01 7.850733e+01 4.000000e+00
9.200000e+01 9.200000e+00 1.237995e+03 1.059375e-01 7.920273e+01 1.349938e-04 1.241205e+00 7.709712e+01 7.920273e+01 4.000000e+00
9.300000e+01 9.300000e+00 1.247792e+03 1.068150e-01 7.989697e+01 1.360771e-04 1.251668e+00 7.775424e+01 7.989697e+01 4.000000e+00
9.400000e+01 9.400000e+00 1.257451e+03 1.076813e-01 8.059053e+01 1.371352e-04 1.262006e+00 7.840345e+01 8.059053e+01 4.000000e+00
9.500000e+01 9.500000e+00 1.266991e+03 1.085378e-01 8.128357e+01 1.381706e-04 1.272243e+00 7.904647e+01 8.128357e+01 4.000000e+00
9.600000e+01 9.600000e+00 1.276368e+03 1.093802e-01 8.197603e+01 1.391722e-04 1.282347e+00 7.968181e+01 8.197603e+01 4.000000e+00
9.700000e+01 9.700000e+00 1.285494e+03 1.102003e-01 8.266786e+01 1.401219e-04 1.292248e+00 8.030579e+01 8.266786e+01 4.000000e+00
9.800000e+01 9.800000e+00 1.294321e+03 1.109937e-01 8.335923e+01 1.410131e-04 1.301909e+00 8.091647e+01 8.335923e+01 4.000000e+00
9.900000e+01 9.900000e+00 1.302893e+03 1.117643e-01 8.405037e+01 1.418562e-04 1.311364e+00 8.151573e+01 8.405037e+01 4.000000e+00
1.000000e+02 1.000000e+01 1.311298e+03 1.125203e-01 8.474135e+01 1.426692e-04 1.320684e+00 8.210730e+01 8.474135e+01 4.000000e+00
